Country Name;Country Code;Indicator Name;Indicator Code;2013;2014;2015;2016;2017;2018;2019
Monaco;MCO;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;;;;;;;
Moldova;MDA;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;8;8;8;8;8;8;8
Madagascar;MDG;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;1;1;2;2;2;2;2
Maldives;MDV;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;2;2;2;2;2;2;2
Afrique du Nord et Moyen-Orient;MEA;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;1,428571429;1,428571429;1,428571429;1,428571429;1,80952381;2,333333333;3,19047619
Mexique;MEX;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;7;8;10;10;10;10;10
Îles Marshall;MHL;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;10;10;10;10;10;10;10
Revenu intermédiaire;MIC;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;4,542857143;4,676190476;4,914285714;5,038095238;5,485714286;5,685714286;5,99047619
Macédoine du Nord;MKD;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;6;6;6;9;9;9;9
Mali;MLI;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;6;6;6;6;6;6;6
Malte;MLT;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;2;2;2;2;2;2;2
Myanmar;MMR;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;2;2;2;2;2;2;2
Afrique du Nord et Moyen-Orient (hors revenu élevé);MNA;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;1,153846154;1,153846154;1,153846154;1,153846154;1,769230769;2,307692308;3,384615385
Monténégro;MNE;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;12;12;12;12;12;12;12
Mongolie;MNG;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;5;5;5;5;9;9;9
Mariannes;MNP;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;;;;;;;
Mozambique;MOZ;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;1;1;1;1;1;1;1
Mauritanie;MRT;Indice de la solidité des garanties juridiques (0=faible et 12=solide);IC.LGL.CRED.XQ;2;2;2;2;2;2;2
